LAND1;BLAND;BEZEI
EG;01;Cairo
EG;02;Giza
EG;03;AlSharqia
EG;04;Dakahlia
EG;05;Beheira
EG;06;Qalyubia
EG;07;Minya
EG;08;Alexandria
EG;09;Gharbia
EG;10;Sohag
EG;11;Asyut
EG;12;Monufia
EG;13;Qena
EG;14;KafrEl-Sheikh
EG;15;Faiyum
EG;16;BeniSuef
EG;17;Aswan
EG;18;Damietta
EG;19;Ismailia
EG;20;PortSaid
EG;21;Suez
EG;22;Luxor
EG;23;NorthSinai
EG;24;Matruh
EG;25;RedSea
EG;26;NewValley
EG;27;SouthSinai
EG;ALX;Alexandria
EG;ASN;Aswan
EG;AST;Asyut
EG;BA;RedSea
EG;BH;Beheira
EG;BNS;BeniSuef
EG;C;Cairo
EG;DK;Dakahlia
EG;DT;Damietta
EG;FYM;Faiyum
EG;GH;Gharbia
EG;GZ;Giza
EG;IS;Ismailia
EG;JS;SouthSinai
EG;KB;Qalyubia
EG;KFS;Kafrel-Sheikh
EG;KN;Qena
EG;LX;Luxor
EG;MN;Minya
EG;MNF;Monufia
EG;MT;Matrouh
EG;PTS;PortSaid
EG;SHG;Sohag
EG;SHR;AlSharqia
EG;SIN;NorthSinai
EG;SUZ;Suez
EG;WAD;NewValley
ER;AN;Anseba
ER;DK;SouthernRedSea
ER;DU;Debub
ER;GB;Gash-Barka
ER;MA;Maekel
ER;SK;NorthernRedSea
ES;01;Alava
ES;02;Albacete
ES;03;Alicante
ES;04;Almeria
ES;05;Avila
ES;06;Badajoz
ES;07;Baleares
ES;08;Barcelona
ES;09;Burgos
ES;10;Caceres
ES;11;Cadiz
ES;12;Castellon
ES;13;CiudadReal
ES;14;Cordoba
ES;15;LaCoruna
ES;16;Cuenca
ES;17;Gerona
ES;18;Granada
ES;19;Guadalajara
ES;20;Guipuzcoa
ES;21;Huelva
ES;22;Huesca
ES;23;Jaen
ES;24;Leon
ES;25;Lerida
ES;26;LaRioja
ES;27;Lugo
ES;28;Madrid
ES;29;Malaga
ES;30;Murcia
ES;31;Navarra
ES;32;Orense
ES;33;Asturias
ES;34;Palencia
ES;35;LasPalmas
ES;36;Pontevedra
ES;37;Salamanca
ES;38;Sta.CruzTenerife
ES;39;Cantabria
ES;40;Segovia
ES;41;Sevilla
ES;42;Soria
ES;43;Tarragona
ES;44;Teruel
ES;45;Toledo
ES;46;Valencia
ES;47;Valladolid
ES;48;Vizcaya
ES;49;Zamora
ES;50;Zaragoza
ES;51;Ceuta
ES;52;Melilla
ET;AA;AddisAbaba
ET;AF;Afar
ET;AM;Amara
ET;BE;Benshangul-Gumaz
ET;DD;DireDawa
ET;GA;GambelaPeoples
ET;HA;HarariPeople
ET;OR;Oromia
ET;SN;SouthernPeoples
ET;SO;Somali
ET;TI;Tigrai
FI;01;Aland
FI;02;SouthKarelia
FI;03;SouthernOstrobothni
FI;04;SouthernSavonia
FI;05;Kainuu
FI;06;TavastiaProper
FI;07;CentralOstrobothnia
FI;08;CentralFinland
FI;09;Kymenlaakso
FI;10;Lapland
FI;11;Pirkanmaa
FI;12;Ostrobothnia
FI;13;NorthKarelia
FI;14;North.Ostrobothnia
FI;15;NorthernSavonia
FI;16;PäijänneTavastia
FI;17;Satakunta
FI;18;Uusimaa
FI;19;FinlandProper
FJ;C;Central
FJ;E;Eastern
FJ;N;Northern
FJ;R;Rotuma
FJ;W;Western
FM;KSA;Kosrae
FM;PNI;Pohnpei
FM;TRK;Chuuk
FM;YAP;Yap
FR;01;Ain
FR;02;Aisne
FR;03;Allier
FR;04;Alpes(Hte-Provence)
FR;05;Alpes(Hautes)
FR;06;Alpes-Maritimes
FR;07;Ardeche
FR;08;Ardennes
FR;09;Ariege
FR;10;Aube
FR;11;Aude
FR;12;Aveyron
FR;13;Bouches-du-Rhone
FR;14;Calvados
FR;15;Cantal
FR;16;Charente
FR;17;Charente-Maritime
FR;18;Cher
FR;19;Correze
FR;21;Cote-d'Or
FR;22;Cotes-d'Armor
FR;23;Creuse
FR;24;Dordogne
FR;25;Doubs
FR;26;Drome
FR;27;Eure
FR;28;Eure-et-Loir
FR;29;Finistere
FR;2A;Corse-du-Sud
FR;2B;Corse-du-Nord
FR;30;Gard
FR;31;Garonne(Haute)
FR;32;Gers
FR;33;Gironde
FR;34;Herault
FR;35;Ille-et-Vilaine
FR;36;Indre
FR;37;Indre-et-Loire
FR;38;Isere
FR;39;Jura
FR;40;Landes
FR;41;Loir-et-Cher
FR;42;Loire
FR;43;Loire(Haute)
FR;44;Loire-Atlantique
FR;45;Loiret
FR;46;Lot
FR;47;Lot-et-Garonne
FR;48;Lozere
FR;49;Maine-et-Loire
FR;50;Manche
FR;51;Marne
FR;52;Marne(Haute)
FR;53;Mayenne
FR;54;Meurthe-et-Moselle
FR;55;Meuse
FR;56;Morbihan
FR;57;Moselle
FR;58;Nievre
FR;59;Nord
FR;60;Oise
FR;61;Orne
FR;62;Pas-de-Calais
FR;63;Puy-de-Dome
FR;64;Pyrenees-Atlantiques
FR;65;Pyrenees(Hautes)
FR;66;Pyrenees-Orientales
FR;67;Bas-Rhin
FR;68;Haut-Rhin
FR;69;Rhone
FR;70;Saone(Haute)
FR;71;Saone-et-Loire
FR;72;Sarthe
FR;73;Savoie
FR;74;Savoie(Haute)
FR;75;Paris
FR;76;Seine-Maritime
FR;77;Seine-et-Marne
FR;78;Yvelines
FR;79;Sevres(Deux)
FR;80;Somme
FR;81;Tarn
FR;82;Tarn-et-Garonne
FR;83;Var
FR;84;Vaucluse
FR;85;Vendee
FR;86;Vienne
FR;87;Vienne(Haute)
FR;88;Vosges
FR;89;Yonne
FR;90;Territ.-de-Belfort
FR;91;Essonne
FR;92;Hauts-de-Seine
FR;93;Seine-Saint-Denis
FR;94;Val-de-Marne
FR;95;Val-d'Oise
FR;971;Guadeloupe
FR;972;Martinique
FR;973;Guyane
IN;RJ;Rajasthan
IN;SK;Sikkim
IN;TG;Telangana
IN;TN;TamilNadu
IN;TR;Tripura
IN;UP;UttarPradesh
IN;UT;Uttarakhand
IN;WB;WestBengal
IQ;AN;Al-Anbar
IQ;AR;Arbil
IQ;BA;Basra
IQ;BB;Babil
IQ;BG;Baghdad
IQ;DA;Dahuk
IQ;DI;Diyala
IQ;DQ;DhiQar
IQ;KA;Karbala
IQ;KI;Kirkuk
IQ;MA;Maisan
IQ;MU;Al-Muthanna
IQ;NA;AnNajaf
IQ;NI;Ninawa
IQ;QA;Al-Qadisiyya
IQ;SD;Salahad-Din
IQ;SU;As-Sulaimaniyya
IQ;WA;Al-Wasit
IR;01;EastAzerbaijan
IR;02;WestAzerbaijan
IR;03;Ardabil
IR;04;Isfahan
IR;05;Ilam
IR;06;Bushehr
IR;07;Tehran
IR;08;Chaharmahal/Bakhtiar
IR;10;Khuzestan
IR;11;Zanjan
IR;12;Semnan
IR;13;Sistan/Baluchestan
IR;14;Fars
IR;15;Kerman
IR;16;Kurdistan
IR;17;Kermanshah
IR;18;KohgiluyehBoyerAhm.
IR;19;Gilan
IR;20;Lorestan
IR;21;Mazandaran
IR;22;Markazi
IR;23;Hormozgan
IR;24;Hamadan
IR;25;Yazd
IR;26;Qom
IR;27;Golestān
IR;28;Qazvin
IR;29;SouthKhorasan
IR;30;RazaviKhorasan
IR;31;NorthKhorasan
IR;32;Alborz
IS;1;CapitalRegion
IS;2;SouthernPeninsula
IS;3;Western(Vesturland)
IS;4;Westfjords
IS;5;NorthwesternRegion
IS;6;NortheasternRegion
IS;7;Eastern(Austurland)
IS;8;Southern(Suðurland)
IT;AG;Agrigento
IT;AL;Alessandria
IT;AN;Ancona
IT;AP;AscoliPiceno
IT;AQ;L'Aquila
IT;AR;Arezzo
IT;AT;Asti
IT;AV;Avellino
IT;BA;Bari
IT;BG;Bergamo
IT;BI;Biella
IT;BL;Belluno
IT;BN;Benevento
IT;BO;Bologna
IT;BR;Brindisi
IT;BS;Brescia
IT;BT;Barletta-Andria-Tr.
IT;BZ;Bolzano
IT;CA;Cagliari
IT;CB;Campobasso
IT;CE;Caserta
IT;CH;Chieti
IT;CL;Caltanisetta
IT;CN;Cuneo
IT;CO;Como
IT;CR;Cremona
IT;CS;Cosenza
IT;CT;Catania
IT;CZ;Catanzaro
IT;EE;StatiEsteri
IT;EN;Enna
IT;FC;Forli/Cesana
IT;FE;Ferrara
IT;FG;Foggia
IT;FI;Florence
IT;FM;Fermo
IT;FR;Frosinone
IT;FU;Fiume
IT;GE;Genova
IT;GR;Grosseto
IT;IM;Imperia
IT;IS;Isernia
IT;KR;Crotone
IT;LC;Lecco
IT;LE;Lecce
IT;LI;Livorno
IT;LO;Lodi
IT;LT;Latina
IT;LU;Lucca
IT;MB;MonzaeBrianza
IT;MC;Macerata
IT;ME;Messina
IT;MI;Milan
IT;MN;Mantova
IT;MO;Modena
IT;MS;MassaCarrara
IT;MT;Matera
IT;NA;Naples
IT;NO;Novara
IT;NU;Nuoro
IT;OR;Oristano
IT;PA;Palermo
IT;PC;Piacenza
IT;PD;Padova
IT;PE;Pescara
IT;PG;Perugia
IT;PI;Pisa
IT;PL;Pola
IT;PO;Prato
IT;PR;Parma
IT;PT;Pistoia
IT;PU;Pesaro-Urbino
IT;PV;Pavia
IT;PZ;Potenza
IT;RA;Ravenna
IT;RC;ReggioCalabria
IT;RE;ReggioEmilia
IT;RG;Ragusa
IT;RI;Rieti
IT;RM;Rome
IT;RN;Rimini
IT;RO;Rovigo
IT;SA;Salerno
IT;SD;SouthSardinia
IT;SI;Siena
IT;SO;Sondrio
IT;SP;LaSpezia
IT;SR;Siracusa
IT;SS;Sassari
IT;SV;Savona
IT;TA;Taranto
IT;TE;Teramo
IT;TN;Trento
IT;TO;Turin
IT;TP;Trapani
IT;TR;Terni
IT;TV;Treviso
IT;VA;Varese
IT;VB;Verbania
IT;VC;Vercelli
IT;VE;Venice
IT;VI;Vicenza
IT;VR;Verona
IT;VT;Viterbo
IT;VV;ViboValentia
IT;ZA;Zara
JM;01;Kingston
JM;02;SaintAndrew
JM;03;SaintThomas
JM;04;Portland
JM;05;SaintMary
JM;06;SaintAnn
JM;07;Trelawny
JM;08;SaintJames
JM;09;Hanover
JM;10;Westmoreland
JM;11;SaintElizabeth
JM;12;Manchester
JM;13;Clarendon
JM;14;SaintCatherine
JO;AJ;Ajloun
JO;AM;Amman
JO;AQ;Aqaba
JO;AT;Tafila
JO;AZ;Zarqa
JO;BA;Balqa
JO;IR;Irbid
JO;JA;Jarash
JO;KA;Karak
JO;MA;Mafraq
JO;MD;Madaba
JO;MN;Ma'an
JP;01;Hokkaido
JP;02;Aomori
JP;03;Iwate
JP;04;Miyagi
JP;05;Akita
JP;06;Yamagata
JP;07;Fukushima
JP;08;Ibaraki
JP;09;Tochigi
JP;10;Gunma
JP;11;Saitama
JP;12;Chiba
JP;13;Tokyo
JP;14;Kanagawa
JP;15;Niigata
JP;16;Toyama
JP;17;Ishikawa
JP;18;Fukui
JP;19;Yamanashi
JP;20;Nagano
JP;21;Gifu
JP;22;Shizuoka
JP;23;Aichi
JP;24;Mie
JP;25;Shiga
JP;26;Kyoto
JP;27;Osaka
JP;28;Hyogo
JP;29;Nara
JP;30;Wakayama
JP;31;Tottori
JP;32;Shimane
JP;33;Okayama
JP;34;Hiroshima
JP;35;Yamaguchi
JP;36;Tokushima
JP;37;Kagawa
JP;38;Ehime
JP;39;Kochi
JP;40;Fukuoka
JP;41;Saga
JP;42;Nagasaki
JP;43;Kumamoto
JP;44;Oita
JP;45;Miyazaki
JP;46;Kagoshima
JP;47;Okinawa
KE;01;Baringo
KE;02;Bomet
KE;03;Bungoma
KE;04;Busia
KE;05;Elgeyo/Marakwet
KE;06;Embu
KE;07;Garissa
KE;08;HomaBay
KE;09;Isiolo
KE;10;Kajiado
KE;11;Kakamega
KE;12;Kericho
KE;13;Kiambu
KE;14;Kilifi
KE;15;Kirinyaga
KE;16;Kisii
KE;17;Kisumu
KE;18;Kitui
KE;19;Kwale
KE;20;Laikipia
KE;21;Lamu
KE;22;Machakos
KE;23;Makueni
KE;24;Mandera
KE;25;Marsabit
KE;26;Meru
KE;27;Migori
KE;28;Mombasa
KE;29;Murang'a
KE;30;NairobiCity
KE;31;Nakuru
KE;32;Nandi
KE;33;Narok
KE;34;Nyamira
KE;35;Nyandarua
KE;36;Nyeri
KE;37;Samburu
KE;38;Siaya
KE;39;Taita/Taveta
KE;40;TanaRiver
KE;41;Tharaka-Nithi
KE;42;TransNzoia
KE;43;Turkana
KE;44;UasinGishu
KE;45;Vihiga
KE;46;Wajir
KE;47;WestPokot
KG;B;Batken
KG;C;Chuy
KG;GB;Bishkek
KG;GO;OshCity
KG;J;Jalal-Abad
KG;N;Naryn
KG;O;Oshregion
KG;T;Talas
KG;Y;Ysyk-Kul
KH;1;BanteayMeanChey
KH;10;Kracheh
KH;11;MondolKiri
KH;12;PhnomPenh
KH;13;PreahVihear
KH;14;PreyVeaeng
KH;15;Pousaat
KH;16;RotanakKiri
KH;17;SiemReab
KH;18;PreahSihanouk
KH;19;StuengTraeng
KH;2;BaatDambang
KH;20;SvaayRieng
KH;21;Taakaev
KH;22;OtdarMeanChey
KH;23;Kaeb
KH;24;Pailin
KH;25;TbongKhmum
KH;3;KampongChaam
KH;4;KampongChhnang
KH;5;KampongSpueu
KH;6;KampongThum
KH;7;Kampot
KH;8;Kandaal
KH;9;KaohKong
KI;G;GilbertIslands
KI;L;LineIslands
KI;P;PhoenixIslands
KM;A;Anjouan
KM;G;GrandeComore
KM;M;Mohéli
KN;01;ChristChurchNicholaT
KN;02;StAnneSandyPoint
KN;03;StGeorgeBasseterre
KN;04;StGeorgeGingerland
KN;05;StJamesWindward
KN;06;StJohnCapisterre
KN;07;StJohnFigtree
KN;08;StMaryCayon
KN;09;StPaulCapisterre
KN;10;StPaulCharlestown
KN;11;StPeterBasseterre
KN;12;StThomasLowland
KN;13;StThomasMid.Island
KN;15;TrinityPalmettoPt.
KP;01;Pyongyang
KP;02;SouthPyongan
KP;03;NorthPyongan
KP;04;Chagang
KP;05;SouthHwanghae
KP;06;NorthHwanghae
KP;07;Kangwon
KP;08;SouthHamgyong
KP;09;NorthHamgyong
KP;10;Ryanggang
KP;13;Rason
KP;14;Nampho
KR;01;Jeju
KR;02;Jeollabukdo
KR;03;Jeollanamdo
KR;04;Chungcheongbukdo
KR;05;Chungcheongnamdo
KR;06;Incheon
KR;07;Gangwondo
KR;08;Gwangju
KR;09;Gyeonggido
KR;10;Gyeongsangbukdo
KR;11;Seoul
KR;12;Busan
KR;13;Seoul
KR;14;Daegu
KR;15;Daejeon
KR;16;Ulsan
KR;17;Sejong
KR;26;Busan
KR;27;Daegu
KR;28;Incheon
KR;29;Gwangju
KR;30;Daejeon
KR;31;Ulsan
KR;41;Gyeonggi
KR;42;Gangwon
KR;43;NorthChungcheong
KR;44;SouthChungcheong
KR;45;NorthJeolla
KR;46;SouthJeolla
KR;47;NorthGyeongsang
KR;48;SouthGyeongsang
KR;49;Jeju
KR;50;Sejong
KW;AH;AlAhmadi
KW;FA;AlFarwaniyah
KW;HA;Hawalli
KW;JA;AlJahra
KW;KU;AlKuwayt(AlAsimah)
KW;KW;KuwaitCity
KW;MU;MubarakalKabir
KZ;AKM;Akmolaregion
KZ;AKT;Aktoberegion
KZ;ALA;Almaty
KZ;ALM;AlmatyRegion
KZ;AST;Astana
KZ;ATY;Atyrauregion
KZ;BAY;Baikonur
KZ;KAR;Karagandyregion
KZ;KUS;Kostanayregion
KZ;KZY;Kyzylordaregion
KZ;MAN;Manghystauregion
KZ;PAV;Pavlodarregion
KZ;SEV;North-Kazakhstanreg
KZ;SHY;Shymkent
KZ;VOS;East-Kazakhstanregi
KZ;ZAP;West-Kazakhstanregi
KZ;ZHA;Zhambylregion
LA;AT;Attapu
LA;BK;Bokèo
LA;BL;Bolikhamxai
LA;CH;Champasak
LA;HO;Houaphan
LA;KH;Khammouan
LA;LM;LouangNamtha
LA;LP;Luangphabang
LA;OU;Oudômxai
LA;PH;Phôngsali
LA;SL;Salavan
LA;SV;Savannakhét
LA;VI;Vientiane
LA;VT;VientianePrefecture
LA;XA;Xaignabouli
LA;XE;Xékong
LA;XI;Xiangkhouang
LA;XS;Xaisômboun
LB;AK;Akkar
LB;AS;North-Lebanon
LB;BA;Beirut
LB;BH;Baalbek-Hermel
LB;BI;Béqaa
LB;JA;South-Lebanon
LB;JL;MountLebanon
LB;NA;Nabatieh
LI;01;Balzers
LI;02;Eschen
LI;03;Gamprin
LI;04;Mauren
LI;05;Planken
LI;06;Ruggell
LI;07;Schaan
LI;08;Schellenberg
LI;09;Triesen
LI;10;Triesenberg
LI;11;Vaduz
LK;11;Colombo
LK;12;Gampaha
LK;13;Kalutara
LK;21;Kandy
LK;22;Matale
LK;23;NuwaraEliya
LK;31;Galle
LK;32;Matara
LK;33;Hambantota
LK;41;Jaffna
LK;42;Kilinochchi
LK;43;Mannar
LK;44;Vavuniya
LK;45;Mullaitivu
LK;51;Batticaola
LK;52;Ampara
LK;53;Trincomalee
LK;61;Kurunegala
LK;62;Puttalam
LK;71;Arunadhapura
LK;72;Polonnaruwa
LK;81;Badulla
LK;82;Moneragala
LK;91;Ratnapura
LK;92;Kegalle
LR;BG;Bong
LR;BM;Bomi
LR;CM;GrandCapeMount
LR;GB;GrandBassa
LR;GG;GrandGedeh
LR;GK;GrandKru
LR;GP;Gbarpolu
LR;LO;Lofa
LR;MG;Margibi
LR;MO;Montserrado
LR;MY;Maryland
LR;NI;Nimba
LR;RG;RiverGee
LR;RI;RiverCess
LR;SI;Sinoe
LS;A;Maseru
LS;B;Butha-Buthe
LS;C;Leribe
LS;D;Berea
LS;E;Mafeteng
LS;F;Mohale'sHoek
LS;G;Quthing
LS;H;Qacha'sNek
LS;J;Mokhotlong
LS;K;Thaba-Tseka
LT;AL;AlytusCounty
LT;KL;KlaipėdaCounty
LT;KU;KaunasCounty
LT;MR;MarijampolėCounty
LT;PN;PanevėžysCounty
LT;SA;SiauliaiCounty
LT;TA;TauragėCounty
LT;TE;TelšiaiCounty
LT;UT;UtenaCounty
LT;VL;VilniusCounty
LU;CA;Capellen
LU;CL;Clerf
LU;DI;Diekirch
LU;EC;Echternach
LU;ES;EschanderAlzette
LU;GR;Grevenmacher
LU;LU;Luxemburg
LU;ME;Mersch
LU;RD;Redingen
LU;RM;Remich
LU;VD;Vianden
LU;WI;Wiltz
LV;001;Aglona
LV;002;Aizkraukle
LV;003;Aizpute
LV;004;Aknīste
LV;005;Aloja
LV;006;Alsunga
LV;007;Alūksne
LV;008;Amata
LV;009;Ape
LV;010;Auce
LV;011;Ādaži
LV;012;Babīte
LV;013;Baldone
LV;014;Baltinava
LV;015;Balvi
LV;016;Bauska
LV;017;Beverīna
LV;018;Brocēni
LV;019;Burtnieki
LV;020;Carnikava
LV;021;Cesvaine
LV;022;Cēsis
LV;023;Cibla
LV;024;Dagda
LV;025;Daugavpils
LV;026;Dobele
LV;027;Dundaga
LV;028;Durbe
LV;029;Engure
LV;030;Ērgļi
LV;031;Garkalne
LV;032;Grobiņa
LV;033;Gulbene
LV;034;Iecava
LV;035;Ikšķile
LV;036;Ilūkste
LV;037;Inčukalns
LV;038;Jaunjelgava
LV;039;Jaunpiebalga
LV;040;Jaunpils
LV;041;Jelgava
LV;042;Jēkabpils
LV;043;Kandava
LV;044;Kārsava
LV;045;Kocēni
LV;046;Koknese
LV;047;Krāslava
LV;048;Krimulda
LV;049;Krustpils
LV;050;Kuldīga
LV;051;Ķegums
LV;052;Ķekava
LV;053;Lielvārde
LV;054;Limbaži
LV;055;Līgatne
LV;056;Līvāni
LV;057;Lubāna
LV;058;Ludza
LV;059;Madona
LV;060;Mazsalaca
LV;061;Mālpils
LV;062;Mārupe
LV;063;Mērsrags
LV;064;Naukšēni
LV;065;Nereta
LV;066;Nīca
LV;067;Ogre
LV;068;Olaine
LV;069;Ozolnieki
LV;070;Pārgauja
LV;071;Pāvilosta
LV;072;Pļaviņas
LV;073;Preiļi
LV;074;Priekule
LV;075;Priekuļi
LV;076;Rauna
LV;077;Rēzekne
LV;078;Riebiņi
LV;079;Roja
LV;080;Ropaži
LV;081;Rucava
LV;082;Rugāji
LV;083;Rundāle
LV;084;Rūjiena
LV;085;Sala
LV;086;Salacgrīva
LV;087;Salaspils
LV;088;Saldus
LV;089;Saulkrasti
LV;090;Sēja
LV;091;Sigulda
LV;092;Skrīveri
LV;093;Skrunda
LV;094;Smiltene
LV;095;Stopiņi
LV;096;Strenči
LV;097;Talsi
LV;098;Tērvete
LV;099;Tukums
LV;100;Vaiņode
LV;101;Valka
LV;102;Varakļāni
LV;103;Vārkava
LV;104;Vecpiebalga
LV;105;Vecumnieki
LV;106;Ventspils
LV;107;Viesīte
LV;108;Viļaka
LV;109;Viļāni
LV;110;Zilupe
LV;DGV;Daugavpils
LV;JEL;Jelgava
LV;JKB;Jēkabpils
LV;JUR;Jūrmala
LV;LPX;Liepāja
LV;REZ;Rēzekne
LV;RIX;Rīga
LV;VEN;Ventspils
LV;VMR;Valmiera
LY;BA;Benghazi
LY;BU;Butnan
LY;DR;Darnah
LY;GT;Ghat
LY;JA;JabalalAkhdar
LY;JG;JabalalGharbi
LY;JI;AlJfara
LY;JU;Jufrah
LY;KF;Kufrah
LY;MB;Murqub
LY;MI;Misurata
LY;MJ;Marj
LY;MQ;Murzuq
LY;NL;Nalut
LY;NQ;NuqatalKhams
LY;SB;Sabha
LY;SR;Surt
LY;TB;Tarabulus
LY;WA;AlWahat
LY;WD;WadialHayaa
LY;WS;WadialShati
LY;ZA;Zawiya
MA;01;TangerTétouanAlHoceï
MA;02;L'Oriental
MA;03;Fès-Meknès
MA;04;Rabat-Salé-Kénitra
MA;05;BéniMellal-Khénifra
MA;06;Casablanca-Settat
MA;07;Marrakech-Safi
MA;08;Drâa-Tafilalet
MA;09;Souss-Massa
MA;10;Guelmim-OuedNoun
MA;11;LaâyouneSakiaElHamra
MA;12;Dakhla-OuedEd-Dahab
MD;AN;AneniiNoi
MD;BA;Bălţi
MD;BD;Bender[Tighina]
MD;BR;Briceni
MD;BS;Basarabeasca
MD;CA;Cahul
MD;CL;Călăraşi
MD;CM;Cimişlia
MD;CR;Criuleni
MD;CS;Căuşeni
MD;CT;Cantemir
MD;CU;Chişinău
MD;DO;Donduşeni
MD;DR;Drochia
MD;DU;Dubăsari
MD;ED;Edineţ
MD;FA;Făleşti
MD;FL;Floreşti
MD;GA;Găgăuzia(UTAG)
MD;GL;Glodeni
MD;HI;Hînceşti
MD;IA;Ialoveni
MD;LE;Leova
MD;NI;Nisporeni
MD;OC;Ocniţa
MD;OR;Orhei
MD;RE;Rezina
MD;RI;Rîşcani
MD;SD;Şoldăneşti
MD;SI;Sîngerei
MD;SN;StîngaNistruluiUTD
MD;SO;Soroca
MD;ST;Străşeni
MD;SV;ŞtefanVodă
MD;TA;Taraclia
MD;TE;Teleneşti
MD;UN;Ungheni
ME;01;Andrijevica
ME;02;Bar
ME;03;Berane
ME;04;BijeloPolje
ME;05;Budva
ME;06;Cetinje
ME;07;Danilovgrad
ME;08;Herceg-Novi
ME;09;Kolašin
ME;10;Kotor
ME;11;Mojkovac
ME;12;Nikšić
ME;13;Plav
ME;14;Pljevlja
ME;15;Plužine
ME;16;Podgorica
ME;17;Rožaje
ME;18;Šavnik
ME;19;Tivat
ME;20;Ulcinj
ME;21;Žabljak
ME;22;Gusinje
ME;23;Petnjica
ME;24;Tuzi
MG;A;Toamasina
MG;D;Antisiranana
MG;F;Fianarantsoa
MG;M;Mahajanga
MG;T;Antananarivo
MG;U;Toliara
MK;02;Obsolete
MK;03;Obsolete
MK;04;Obsolete
MK;05;Obsolete
MK;06;Obsolete
MK;07;Obsolete
MK;08;Obsolete
MK;10;Obsolete
MK;101;Veles
MK;102;Gradsko
MK;103;DemirKapija
MK;104;Kavadarci
MK;105;Lozovo
MK;106;Negotino
MK;107;Rosoman
MK;108;SvetiNikole
MK;109;Čaška
MK;11;Obsolete
MK;12;Obsolete
MK;13;Obsolete
MK;14;Obsolete
MK;16;Obsolete
MK;18;Obsolete
MK;19;Obsolete
MK;20;Obsolete
MK;201;Berovo
MK;202;Vinica
MK;203;Delčevo
MK;204;Zrnovci
MK;205;Karbinci
MK;206;Kočani
MK;207;MakedonskaKamenica
MK;208;Pehčevo
MK;209;Probištip
MK;21;Obsolete
MK;210;Češinovo-Obleševo
MK;211;Štip
MK;22;Obsolete
MK;23;Obsolete
MK;24;Obsolete
MK;25;Obsolete
