SR_NO;TABLE_CODE;TABLE_NAME;TABLE_TYPE;COLUMN_COUNT;TABLE_DESCRIPTION;PRIMARY_KEY
1;MasterTableNames;MASTER_TABLENAMES;Master;5;Master Table Names;SR_NO
2;Country;MASTER_COUNTRY;Master;3;Country;LAND1,LANDX,NATIO
3;Currency;MASTER_CURRENCY;Master;2;Currency;WAERS
4;EntityCode;MASTER_ENTITY_CODE;Master;4;Entity Codes;BUKRS
5;IBANCountry;MASTER_IBAN_COUNTRY;Master;3;IBAN Country;LAND1,LANDX,LENGTH
6;RegexPostalCode;MASTER_REGEX_POSTALCODE;Master;3;Regex Postal Code;LAND1
7;Region;MASTER_REGION;Master;3;Region;LAND1,BLAND,BEZEI
8;UserRole;MASTER_USER_ROLE;Master;2;User Role;CODE
9;Status;MASTER_STATUS;Master;2;Status;CODE
10;Telecode;MASTER_TELECODE;Master;2;Telecode;LAND1
11;AttachmentTypes;MASTER_ATTACHMENT_TYPES;Master;6;Attachment Types;CODE
12;Client_Info;MASTER_EMAIL_CONTACT_ID;Config;10;Client Info;SR_NO
13;Sap_Info;MASTER_SAP_CLIENT;Config;3;SAP Info;SR_NO
14;SubAccount_Info;MASTER_SUBACCOUNT;Config;3;SubAccount Info;SR_NO
15;MasterCredential_Info;MASTER_CREDENTIAL;Config;8;MasterCredential Info;SR_NO
16;IvenAttachments;MASTER_IVEN_ATTACHMENTS;Config;12;Iven Attachments;SR_NO,ENTITY_CODE,ATTACH_CODE
17;RequestType;MASTER_REQUEST_TYPE;Master;3;Request Type;CODE
18;iVenSettings;MASTER_IVEN_SETTINGS;Master;4;iVen Settings;CODE